,name,nodes,filesystem,index,perf_var,perf_value,datetime,status,jobid
23834496,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-nvme/z19/benchio,1,nvme,14,unstriped_hdf5,0.4365984267113674,2023-08-10 20:50:00,completed,4195453
36682976,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work1/work/z19/z19/shared/benchio,1,work1,23,unstriped_hdf5,0.4329144892663284,2023-08-10 20:50:00,completed,4195456
28047082,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work2/work/z19/z19/shared/benchio,1,work2,19,unstriped_hdf5,0.43840962116847976,2023-08-10 20:50:00,completed,4195460
23271241,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-nvme/z19/benchio,1,nvme,14,unstriped_hdf5,0.43641170327587947,2023-08-10 22:01:00,completed,4196183
34917704,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work1/work/z19/z19/shared/benchio,1,work1,23,unstriped_hdf5,0.43851194845278213,2023-08-10 22:01:00,completed,4196186
28578827,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work2/work/z19/z19/shared/benchio,1,work2,19,unstriped_hdf5,0.39983101580137836,2023-08-10 22:01:00,completed,4196185
36348770,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work1/work/z19/z19/shared/benchio,1,work1,23,unstriped_hdf5,0.43108202737422796,2023-08-10 23:12:00,completed,4197511
26562263,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work2/work/z19/z19/shared/benchio,1,work2,19,unstriped_hdf5,0.4361179383305846,2023-08-10 23:12:00,completed,4197510
22668522,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-nvme/z19/benchio,1,nvme,14,unstriped_hdf5,0.4355920448585393,2023-08-10 23:12:00,completed,4197508
34818897,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work1/work/z19/z19/shared/benchio,1,work1,23,unstriped_hdf5,0.43445473545938373,2023-08-11 00:22:00,completed,4198056
27521759,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work2/work/z19/z19/shared/benchio,1,work2,19,unstriped_hdf5,0.4316738246610104,2023-08-11 00:22:00,completed,4198055
20748245,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-nvme/z19/benchio,1,nvme,14,unstriped_hdf5,0.434253698109331,2023-08-11 00:22:00,completed,4198053
36825749,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work1/work/z19/z19/shared/benchio,1,work1,23,unstriped_hdf5,0.4375276273639516,2023-08-11 01:32:00,completed,4198432
27681587,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work2/work/z19/z19/shared/benchio,1,work2,19,unstriped_hdf5,0.3369024930868286,2023-08-11 01:32:00,failed_performance,4198431
20344006,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-nvme/z19/benchio,1,nvme,14,unstriped_hdf5,0.433467808642356,2023-08-11 01:32:00,completed,4198429
27492705,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work2/work/z19/z19/shared/benchio,1,work2,19,unstriped_hdf5,0.432947054716705,2023-08-11 02:43:00,completed,4198706
20299277,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-nvme/z19/benchio,1,nvme,14,unstriped_hdf5,0.43278056917542085,2023-08-11 02:43:00,completed,4198704
37331001,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work1/work/z19/z19/shared/benchio,1,work1,23,unstriped_hdf5,0.4352041527297947,2023-08-11 02:43:00,completed,4198707
20308973,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-nvme/z19/benchio,1,nvme,14,unstriped_hdf5,0.42909422653533896,2023-08-11 03:55:00,completed,4198988
32752504,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work1/work/z19/z19/shared/benchio,1,work1,23,unstriped_hdf5,0.43048608427080987,2023-08-11 03:55:00,completed,4198991
30813329,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work2/work/z19/z19/shared/benchio,1,work2,19,unstriped_hdf5,0.4355529342375624,2023-08-11 03:55:00,completed,4198990
30303412,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work2/work/z19/z19/shared/benchio,1,work2,19,unstriped_hdf5,0.4338316982723275,2023-08-11 05:06:00,completed,4199285
21008243,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-nvme/z19/benchio,1,nvme,14,unstriped_hdf5,0.43457922949827593,2023-08-11 05:06:00,completed,4199283
37374970,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work1/work/z19/z19/shared/benchio,1,work1,23,unstriped_hdf5,0.43674198012390425,2023-08-11 05:06:00,completed,4199286
36239587,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work1/work/z19/z19/shared/benchio,1,work1,23,unstriped_hdf5,0.43487719856425455,2023-08-11 06:17:00,completed,4199803
29576394,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work2/work/z19/z19/shared/benchio,1,work2,19,unstriped_hdf5,0.43611932761343325,2023-08-11 06:17:00,completed,4199802
22396113,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-nvme/z19/benchio,1,nvme,14,unstriped_hdf5,0.43391963161228947,2023-08-11 06:17:00,completed,4199800
31041171,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work2/work/z19/z19/shared/benchio,1,work2,19,unstriped_hdf5,0.4307073372130814,2023-08-11 07:27:00,completed,4200055
20456038,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-nvme/z19/benchio,1,nvme,14,unstriped_hdf5,0.42974498047607435,2023-08-11 07:27:00,completed,4200053
36773134,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work1/work/z19/z19/shared/benchio,1,work1,23,unstriped_hdf5,0.432537511709413,2023-08-11 07:27:00,completed,4200056
27467316,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work2/work/z19/z19/shared/benchio,1,work2,19,unstriped_hdf5,0.43806736032218047,2023-08-11 08:41:00,completed,4200528
23725894,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-nvme/z19/benchio,1,nvme,14,unstriped_hdf5,0.4312313563189277,2023-08-11 08:41:00,completed,4200526
32430537,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work1/work/z19/z19/shared/benchio,1,work1,23,unstriped_hdf5,0.43911799813241775,2023-08-11 08:41:00,completed,4200529
35811394,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work1/work/z19/z19/shared/benchio,1,work1,23,unstriped_hdf5,0.4377640804086032,2023-08-11 09:51:00,completed,4201553
31014932,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work2/work/z19/z19/shared/benchio,1,work2,19,unstriped_hdf5,0.4328018754279638,2023-08-11 09:51:00,completed,4201552
23018143,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-nvme/z19/benchio,1,nvme,14,unstriped_hdf5,0.4316705162478674,2023-08-11 09:51:00,completed,4201550
34089886,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work1/work/z19/z19/shared/benchio,1,work1,23,unstriped_hdf5,0.4239123952245704,2023-08-11 11:02:00,completed,4202281
24102508,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-nvme/z19/benchio,1,nvme,14,unstriped_hdf5,0.4306738697826943,2023-08-11 11:02:00,completed,4202277
31713198,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work2/work/z19/z19/shared/benchio,1,work2,19,unstriped_hdf5,0.4356967033177918,2023-08-11 11:02:00,completed,4202280
22102884,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-nvme/z19/benchio,1,nvme,14,unstriped_hdf5,0.43130322940746674,2023-08-11 12:13:00,completed,4203217
32705375,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work1/work/z19/z19/shared/benchio,1,work1,23,unstriped_hdf5,0.4325528831301376,2023-08-11 12:13:00,completed,4203221
29258852,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work2/work/z19/z19/shared/benchio,1,work2,19,unstriped_hdf5,0.43375242201740005,2023-08-11 12:13:00,completed,4203219
27102388,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-work2/work/z19/z19/shared/benchio,1,work2,19,unstriped_hdf5,0.4327954557470892,2023-08-11 13:24:00,completed,4203718
24682835,benchio %lang=cpp %num_nodes=1 %write_dir_prefix=/mnt/lustre/a2fs-nvme/z19/benchio,1,nvme,14,unstriped_hdf5,0.4309536370789743,2023-08-11 13:24:00,completed,4203716
